年度,題號,分類,題幹,選項
111,33,篇章細節,Which map is most likely the map of Cameroon in 1962?,(A) (B) (C) (D)
111,37,篇章細節,Which of the following can be learned from the reading?,(A) People in Ambazonia are happy to be part of Cameroon. (B) Cameroon was a French colony before 1961. (C) There are more French speakers than English speakers in Cameroon. (D) Elisa Grant is from Ambazonia and is talking about her own experience.
111,39,篇章細節,,(A) However (B) Besides (C) Finally (D) Therefore
110,16,篇章細節,What will NOT get you BeautiMed points?,(A) Shopping at e-BeautiMed. (B) Joining “BeautiMed Friend” online. (C) Inviting a friend to join “BeautiMed Friend.” (D) Entering the “BeautiMed Friend” card number.
110,17,篇章細節,Lynn took some photos at Tom’s party. Which is most likely one of them?,(A) (B) (C) (D)
110,20,篇章細節,Which picture of Woollie and Ms. Clark did Katie talk about in her diary?,(A) (B) (C) (D)
110,22,篇章細節,Look at the picture. What does the picture show?,(A) Pierre playing the piano. (B) Pierre listening to music. (C) Pierre looking at a painting. (D) Pierre talking to his mother.
110,30,篇章細節,What is true about NFR’s trains between August 14 and 28 2016?,(A) No trains will stop at Spring Town. (B) Trains that change lines will all stop at Cloud City. (C) People can take the free buses to any station on the Sand Town - Spring Town line. (D) People can go to Hill Town on any train that runs between Green City and Cloud City.
110,31,篇章細節,"If a traveler wants to go from White Water City to Gray Village between August 14 and 28, 2016, what should she do?",(A) Take the train to Cloud City and then take a bus to Gray Village. (B) Take the train to Green City and then take a free bus to Sand Town. (C) Take the train to Smoke Town and then take a free bus to Gray Village. (D) Take the train to Spring Town and then take a free bus to Gray Village.
110,33,篇章細節,What can we learn about the secret library in Darayya?,(A) It has mostly books about war. (B) It is built and run by the government. (C) People go there to get away from the war outside. (D) Most of the books in the library were found in other countries.
109,18,篇章細節,What can we learn about Buffy’s friends?,(A) Matt has experience of yard sales. (B) Jamie had a successful yard sale last week. (C) Albert thinks weather is important for yard sales. (D) Debby thinks things are cheaper online than at yard sales.
109,20,篇章細節,What does “it” refer to in the first paragraph?,(A) A new way to cook. (B) Chocolate that is heated. (C) A bowl of hot water. (D) Making chocolate desserts.
109,22,篇章細節,What should the water in the bigger pot be like?,(A) It should be cold. (B) It should be boiling. (C) It should be hot but not boiling. (D) It should be less than 50℃.
109,24,篇章細節,"From the reading, which is true about working with chocolate?",(A) It is better to use a “bain-marie” than a “water bath.” (B) The water in the pot should not be warmer than 50ºC. (C) It is better to finish mixing it in less than five minutes. (D) We should not mix butter and sugar together at the same time.
109,29,篇章細節,What can we learn from the letter?,(A) Too much melatonin can hurt teenagers’ brain. (B) The brain stops making melatonin after 11 p.m. (C) Sleeping longer helps the body make more melatonin. (D) It is easier to fall asleep when the brain is making melatonin.
109,34,篇章細節,What does the reading say about the Arctic ice?,(A) The Arctic ice covered 10 km² of Kivalina. (B) The melting Arctic ice kills about 400 Inuit people each year. (C) The Arctic ice helped the Inuit people in Kivalina during bad weather. (D) The melting Arctic ice has given the Inuit people enough water to use.
108,18,篇章細節,Which is true about City Sight Bus tickets?,(A) It costs less to buy tickets on the Internet. (B) People must pay the full ticket price for a pet. (C) Tickets are more expensive in the high season. (D) People save 10% if they buy two tickets for the same line.
108,19,篇章細節,Which is true about the bus lines?,(A) Line B takes more time. (B) Both lines cross Farmers’ Bridge. (C) Both lines leave from Central Station. (D) There are more gardens to see on Line A.
108,22,篇章細節,What can we learn about Mike?,(A) He is nice to people from his fan club. (B) He plays soccer with Johnny and Ricky. (C) He found a way to fix the trouble he made. (D) He decided not to go to the game on Sunday.
108,25,篇章細節,【題幹未提供】,【選項未提供】
108,28,篇章細節,What do we know from the news?,(A) Lai has taught xiangsheng in many schools. (B) Lai often puts his own life stories into his art works. (C) The owner of Hsin Hsin Paper Offering Store is a Frenchman. (D) People do not burn papier-mâché for dead people as often as before.
108,31,篇章細節,"Based on the news, when do our bodies make the most cortisol?",(A) Right after we go to bed. (B) Soon after we fall asleep. (C) About an hour after we wake up. (D) About an hour before we go to bed.
108,33,篇章細節,What does the report NOT suggest?,(A) Having more free buses for shoppers. (B) Changing the opening hours on weekdays. (C) Making plans to help weekday morning business. (D) Changing the time of the special sale on weekends.
108,34,篇章細節,What does the report say about the shopping center?,(A) Its business on weekdays is not as good as last season. (B) It has a special sale one hour before closing every day. (C) Most of the shoppers take the free buses to the shopping center. (D) A large part of its shoppers on weekday evenings are working parents.
108,35,篇章細節,Which picture is most likely used in the report?,【選項未提供】
107,26,篇章細節,What can we learn about SHARP WEAR?,(A) You have to order at least four T-shirts each time. (B) You can choose from sixteen colors for both the T-shirt and the pocket. (C) Some of the T-shirts have pictures on both the front side and the back side. (D) T-shirts in the wrong sizes cannot be sent back if they have pictures or pockets on them.
107,30,篇章細節,How many times can a cat shake itself dry in one second?,(A) About 5 times. (B) About 10 times. (C) About 15 times. (D) About 20 times.
107,31,篇章細節,"The four pictures below show how fast tigers, cats and mice can shake. From the reading, which picture is most likely correct?","(A) (B) (C) (D) (The four bar charts comparing the number of shakes per second for tigers, cats, and mice)"
107,34,篇章細節,What do we know about Flora Café from the dialogue?,(A) It has a way to know who really is poor. (B) Free coffee has brought it more business. (C) People pay less for free coffee than other coffee. (D) Its blackboard shows if there are free coffees to be taken.
